,malignant,benign,accuracy,macro avg,weighted avg
precision,0.926829268292683,0.9452054794520548,0.9385964912280702,0.9360173738723689,0.9384352963933389
recall,0.9047619047619048,0.9583333333333334,0.9385964912280702,0.9315476190476191,0.9385964912280702
f1-score,0.9156626506024096,0.9517241379310345,0.9385964912280702,0.933693394266722,0.9384383268099622
support,42.0,72.0,0.9385964912280702,114.0,114.0
