,malignant,benign,accuracy,macro avg,weighted avg
precision,1.0,0.96,0.9736842105263158,0.98,0.9747368421052632
recall,0.9285714285714286,1.0,0.9736842105263158,0.9642857142857143,0.9736842105263158
f1-score,0.9629629629629629,0.9795918367346939,0.9736842105263158,0.9712773998488284,0.9734654095556351
support,42.0,72.0,0.9736842105263158,114.0,114.0
