,malignant,benign,accuracy,macro avg,weighted avg
precision,0.8863636363636364,0.9571428571428572,0.9298245614035088,0.9217532467532468,0.9310663021189336
recall,0.9285714285714286,0.9305555555555556,0.9298245614035088,0.9295634920634921,0.9298245614035088
f1-score,0.9069767441860465,0.9436619718309859,0.9298245614035088,0.9253193580085162,0.9301463616460083
support,42.0,72.0,0.9298245614035088,114.0,114.0
