ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.956140350877193,0.9953703703703705,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9085472857180888
XGBoost (Ensemble),0.956140350877193,0.9947089947089947,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9058238738943076
Random Forest (Ensemble),0.9473684210526315,0.9928902116402117,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8869047619047619
kNN,0.9736842105263158,0.9884259259259259,1.0,0.9285714285714286,0.9629629629629629,0.9441549509633318
Naive Bayes (Gaussian),0.9385964912280702,0.9877645502645502,0.926829268292683,0.9047619047619048,0.9156626506024096,0.8675534786006366
Decision Tree,0.9298245614035088,0.9295634920634921,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.8512809112494895
