,malignant,benign,accuracy,macro avg,weighted avg
precision,0.9743589743589743,0.9466666666666667,0.956140350877193,0.9605128205128205,0.9568690958164642
recall,0.9047619047619048,0.9861111111111112,0.956140350877193,0.9454365079365079,0.956140350877193
f1-score,0.9382716049382716,0.9659863945578231,0.956140350877193,0.9521289997480473,0.9557756825927252
support,42.0,72.0,0.956140350877193,114.0,114.0
