,malignant,benign,accuracy,macro avg,weighted avg
precision,0.9285714285714286,0.9583333333333334,0.9473684210526315,0.9434523809523809,0.9473684210526315
recall,0.9285714285714286,0.9583333333333334,0.9473684210526315,0.9434523809523809,0.9473684210526315
f1-score,0.9285714285714286,0.9583333333333334,0.9473684210526315,0.9434523809523809,0.9473684210526315
support,42.0,72.0,0.9473684210526315,114.0,114.0
